Identity,Link,Location,Area,Price,Balloted,Boundary Wall,Broadband Internet Access,Community Centre,Community Gym,Community Swimming Pool,Corner,Disputed,Electricity,File,Kids Play Area,Maintenance Staff,Mosque,Nearby Hospitals,Nearby Public Transport Service,Nearby Restaurants,Nearby Schools,Nearby Shopping Malls,Park Facing,Possesion,Satellite or Cable TV Ready,Security Staff,Sewerage,Sui Gas,Water Supply,Distance From Airport (kms)
Commercial Plot 47170357,https://www.zameen.com/Property/golf_view_residencia_golf_view_residencia_-_phase_1_8_marla_commercial_open_form_transfer_free_available_in_bahria_town_lahore-47170357-13640-2.html,Lahore Commercial Plots > Bahria Town Commercial Plots > Golf View Residencia Commercial Plots > Golf View Residencia - Phase 1 Commercial Plots,241.76,41500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 46951382,https://www.zameen.com/Property/bahria_town_sector_b_bahria_town_-_umar_block_8_marla_plot_is_available_for_sale_in_umar_block_lahore-46951382-1781-2.html,Lahore Residential Plots > Bahria Town Residential Plots > Bahria Town - Sector B Residential Plots > Bahria Town - Umar Block Residential Plots,241.76,12500000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1.0
Residential Plot 46984389,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_5_marla_plot_for_sale_ghaznavi_ext_bahria_town_lahore-46984389-1802-2.html,Lahore Residential Plots > Bahria Town Residential Plots > Bahria Town - Sector E Residential Plots,151.1,8200000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 47286570,https://www.zameen.com/Property/bahria_town_sector_e_bahria_town_-_rafi_block_10_marla_residential_plot_in_bahria_town_lahore_at_rafi_block-47286570-1803-2.html,Lahore Residential Plots > Bahria Town Residential Plots > Bahria Town - Sector E Residential Plots > Bahria Town - Rafi Block Residential Plots,302.2,15000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Commercial Plot 47336987,https://www.zameen.com/Property/bahria_town_sector_b_bahria_town_-_umar_block_corner_17_30_marla_all_dues_clear_commercial_plot_for_sale_in_umer_block_bahria_town_lahore-47336987-1781-2.html,Lahore Commercial Plots > Bahria Town Commercial Plots > Bahria Town - Sector B Commercial Plots > Bahria Town - Umar Block Commercial Plots,522.806,130000000.0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1.0
Residential Plot 46737379,https://www.zameen.com/Property/bahria_town_sector_f_bahria_town_-_alamgir_block_residential_plot_sized_10_marla_available_in_bahria_town_-_alamgir_block-46737379-8440-2.html,Lahore Residential Plots > Bahria Town Residential Plots > Bahria Town - Sector F Residential Plots > Bahria Town - Alamgir Block Residential Plots,302.2,11000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0.0
Residential Plot 47162378,https://www.zameen.com/Property/golf_view_residencia_golf_view_residencia_-_phase_2_imc_real_estate_offering_10_marla_finest_plot_for_sale_in_golf_view_residencia_phase_2_bahria_town_lahore-47162378-13642-2.html,Lahore Residential Plots > Bahria Town Residential Plots > Golf View Residencia Residential Plots > Golf View Residencia - Phase 2 Residential Plots,302.2,8300000.0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1.0
Commercial Plot 47149855,https://www.zameen.com/Property/bahria_town_sector_e_bahria_town_-_nishtar_block_5_marla_commercial_plot_in_bahria_town_-_nishtar_block_lahore_is_available_as_of_now-47149855-1806-2.html,Lahore Commercial Plots > Bahria Town Commercial Plots > Bahria Town - Sector E Commercial Plots > Bahria Town - Nishtar Block Commercial Plots,151.1,62500000.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0.0
Residential Plot 47149717,https://www.zameen.com/Property/bahria_town_sector_b_bahria_town_-_takbeer_block_2250_square_feet_residential_plot_situated_in_bahria_town_-_takbeer_block_for_sale-47149717-1778-2.html,Lahore Residential Plots > Bahria Town Residential Plots > Bahria Town - Sector B Residential Plots > Bahria Town - Takbeer Block Residential Plots,302.2,17000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Residential Plot 47210776,https://www.zameen.com/Property/golf_view_residencia_golf_view_residencia_-_phase_2_10_marla_open_form_plot_for_sale_in_golf_view_residenica_phase_2_bahria_town_lahore-47210776-13642-2.html,Lahore Residential Plots > Bahria Town Residential Plots > Golf View Residencia Residential Plots > Golf View Residencia - Phase 2 Residential Plots,302.2,8000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
